ProcessID: [3], Waiting Time [19.3], Turnaround Time: [23.3]
ProcessID: [72], Waiting Time [461.1], Turnaround Time: [466.1]
ProcessID: [73], Waiting Time [463.1], Turnaround Time: [474.1]
ProcessID: [74], Waiting Time [475.1], Turnaround Time: [481.1]
ProcessID: [75], Waiting Time [481.1], Turnaround Time: [500.1]
ProcessID: [76], Waiting Time [494.1], Turnaround Time: [505.1]
ProcessID: [77], Waiting Time [504.1], Turnaround Time: [507.1]
ProcessID: [78], Waiting Time [501.1], Turnaround Time: [506.1]
ProcessID: [79], Waiting Time [502.1], Turnaround Time: [515.1]
ProcessID: [80], Waiting Time [511.1], Turnaround Time: [521.1]
ProcessID: [81], Waiting Time [521.1], Turnaround Time: [529.1]
ProcessID: [82], Waiting Time [528.1], Turnaround Time: [540.1]
ProcessID: [83], Waiting Time [538.1], Turnaround Time: [540.1]
ProcessID: [84], Waiting Time [534.1], Turnaround Time: [539.1]
ProcessID: [85], Waiting Time [536.1], Turnaround Time: [542.1]
ProcessID: [86], Waiting Time [541.1], Turnaround Time: [560.1]
ProcessID: [87], Waiting Time [553.1], Turnaround Time: [565.1]
ProcessID: [88], Waiting Time [558.1], Turnaround Time: [562.1]
ProcessID: [89], Waiting Time [556.1], Turnaround Time: [576.1]
ProcessID: [90], Waiting Time [577.1], Turnaround Time: [578.1]
ProcessID: [91], Waiting Time [574.1], Turnaround Time: [594.1]
ProcessID: [92], Waiting Time [590.1], Turnaround Time: [597.1]
ProcessID: [93], Waiting Time [597.1], Turnaround Time: [602.1]
ProcessID: [94], Waiting Time [596.1], Turnaround Time: [615.1]
ProcessID: [95], Waiting Time [612.1], Turnaround Time: [623.1]
ProcessID: [96], Waiting Time [619.1], Turnaround Time: [624.1]
ProcessID: [97], Waiting Time [621.1], Turnaround Time: [641.1]
ProcessID: [98], Waiting Time [643.1], Turnaround Time: [663.1]
ProcessID: [99], Waiting Time [664.1], Turnaround Time: [676.1]
ProcessID: [100], Waiting Time [668.1], Turnaround Time: [680.1]
ProcessID: [101], Waiting Time [680.1], Turnaround Time: [691.1]
ProcessID: [102], Waiting Time [684.1], Turnaround Time: [686.1]
ProcessID: [103], Waiting Time [677.1], Turnaround Time: [693.1]
ProcessID: [104], Waiting Time [688.1], Turnaround Time: [708.1]
ProcessID: [105], Waiting Time [701.1], Turnaround Time: [719.1]
ProcessID: [106], Waiting Time [717.1], Turnaround Time: [728.1]
ProcessID: [107], Waiting Time [728.1], Turnaround Time: [735.1]
ProcessID: [108], Waiting Time [726.1], Turnaround Time: [733.1]
ProcessID: [109], Waiting Time [730.1], Turnaround Time: [744.1]
ProcessID: [110], Waiting Time [742.1], Turnaround Time: [749.1]
ProcessID: [111], Waiting Time [748.1], Turnaround Time: [751.1]
ProcessID: [112], Waiting Time [751.1], Turnaround Time: [766.1]
ProcessID: [113], Waiting Time [765.1], Turnaround Time: [767.1]
ProcessID: [114], Waiting Time [763.1], Turnaround Time: [766.1]
ProcessID: [115], Waiting Time [766.1], Turnaround Time: [768.1]
ProcessID: [116], Waiting Time [761.1], Turnaround Time: [768.1]
ProcessID: [117], Waiting Time [768.1], Turnaround Time: [786.1]
ProcessID: [118], Waiting Time [782.1], Turnaround Time: [802.1]
ProcessID: [119], Waiting Time [803.1], Turnaround Time: [805.1]
ProcessID: [120], Waiting Time [799.1], Turnaround Time: [817.1]
ProcessID: [121], Waiting Time [813.1], Turnaround Time: [832.1]
ProcessID: [122], Waiting Time [827.1], Turnaround Time: [836.1]
ProcessID: [123], Waiting Time [827.1], Turnaround Time: [839.1]
ProcessID: [124], Waiting Time [839.1], Turnaround Time: [849.1]
ProcessID: [125], Waiting Time [844.1], Turnaround Time: [855.1]
ProcessID: [126], Waiting Time [847.1], Turnaround Time: [865.1]
ProcessID: [127], Waiting Time [864.1], Turnaround Time: [866.1]
ProcessID: [128], Waiting Time [862.1], Turnaround Time: [872.1]
ProcessID: [129], Waiting Time [872.1], Turnaround Time: [875.1]
ProcessID: [130], Waiting Time [869.1], Turnaround Time: [885.1]
ProcessID: [131], Waiting Time [877.1], Turnaround Time: [891.1]
ProcessID: [132], Waiting Time [889.1], Turnaround Time: [902.1]
ProcessID: [133], Waiting Time [896.1], Turnaround Time: [915.1]
ProcessID: [134], Waiting Time [912.1], Turnaround Time: [919.1]
ProcessID: [135], Waiting Time [915.1], Turnaround Time: [922.1]
ProcessID: [136], Waiting Time [917.1], Turnaround Time: [921.1]
ProcessID: [137], Waiting Time [921.1], Turnaround Time: [930.1]
ProcessID: [138], Waiting Time [924.1], Turnaround Time: [943.1]
ProcessID: [139], Waiting Time [940.1], Turnaround Time: [947.1]
ProcessID: [140], Waiting Time [944.1], Turnaround Time: [958.1]
ProcessID: [141], Waiting Time [954.1], Turnaround Time: [960.1]
ProcessID: [142], Waiting Time [960.1], Turnaround Time: [964.1]
ProcessID: [143], Waiting Time [959.1], Turnaround Time: [972.1]
ProcessID: [144], Waiting Time [973.1], Turnaround Time: [985.1]
ProcessID: [145], Waiting Time [977.1], Turnaround Time: [988.1]
ProcessID: [146], Waiting Time [981.1], Turnaround Time: [983.1]
ProcessID: [147], Waiting Time [977.1], Turnaround Time: [978.1]
ProcessID: [148], Waiting Time [969.1], Turnaround Time: [979.1]
ProcessID: [149], Waiting Time [972.1], Turnaround Time: [987.1]
ProcessID: [150], Waiting Time [980.1], Turnaround Time: [998.1]
ProcessID: [151], Waiting Time [993.1], Turnaround Time: [997.1]
ProcessID: [152], Waiting Time [988.1], Turnaround Time: [997.1]
ProcessID: [153], Waiting Time [988.1], Turnaround Time: [995.1]
ProcessID: [154], Waiting Time [987.1], Turnaround Time: [997.1]
ProcessID: [155], Waiting Time [996.1], Turnaround Time: [1004.1]
ProcessID: [156], Waiting Time [995.1], Turnaround Time: [1015.1]
ProcessID: [157], Waiting Time [1012.1], Turnaround Time: [1016.1]
ProcessID: [158], Waiting Time [1011.1], Turnaround Time: [1025.1]
ProcessID: [159], Waiting Time [1020.1], Turnaround Time: [1021.1]
ProcessID: [160], Waiting Time [1016.1], Turnaround Time: [1024.1]
ProcessID: [161], Waiting Time [1016.1], Turnaround Time: [1028.1]
ProcessID: [162], Waiting Time [1025.1], Turnaround Time: [1039.1]
ProcessID: [163], Waiting Time [1037.1], Turnaround Time: [1040.1]
ProcessID: [164], Waiting Time [1031.1], Turnaround Time: [1036.1]
ProcessID: [165], Waiting Time [1027.1], Turnaround Time: [1036.1]
ProcessID: [166], Waiting Time [1030.1], Turnaround Time: [1034.1]
ProcessID: [167], Waiting Time [1029.1], Turnaround Time: [1043.1]
ProcessID: [168], Waiting Time [1038.1], Turnaround Time: [1042.1]
ProcessID: [169], Waiting Time [1033.1], Turnaround Time: [1042.1]
ProcessID: [170], Waiting Time [1034.1], Turnaround Time: [1042.1]
ProcessID: [171], Waiting Time [1033.1], Turnaround Time: [1047.1]
ProcessID: [172], Waiting Time [1044.1], Turnaround Time: [1052.1]
ProcessID: [173], Waiting Time [1049.1], Turnaround Time: [1067.1]
ProcessID: [174], Waiting Time [1059.1], Turnaround Time: [1074.1]
ProcessID: [175], Waiting Time [1068.1], Turnaround Time: [1075.1]
ProcessID: [176], Waiting Time [1071.1], Turnaround Time: [1073.1]
ProcessID: [177], Waiting Time [1065.1], Turnaround Time: [1076.1]
ProcessID: [178], Waiting Time [1069.1], Turnaround Time: [1080.1]
ProcessID: [179], Waiting Time [1080.1], Turnaround Time: [1093.1]
ProcessID: [180], Waiting Time [1091.1], Turnaround Time: [1094.1]
ProcessID: [181], Waiting Time [1089.1], Turnaround Time: [1093.1]
ProcessID: [182], Waiting Time [1093.1], Turnaround Time: [1106.1]
ProcessID: [183], Waiting Time [1105.1], Turnaround Time: [1118.1]
ProcessID: [184], Waiting Time [1117.1], Turnaround Time: [1127.1]
ProcessID: [185], Waiting Time [1126.1], Turnaround Time: [1127.1]
ProcessID: [186], Waiting Time [1125.1], Turnaround Time: [1142.1]
ProcessID: [187], Waiting Time [1140.1], Turnaround Time: [1158.1]
ProcessID: [188], Waiting Time [1157.1], Turnaround Time: [1167.1]
ProcessID: [189], Waiting Time [1164.1], Turnaround Time: [1181.1]
ProcessID: [190], Waiting Time [1181.1], Turnaround Time: [1195.1]
ProcessID: [191], Waiting Time [1195.1], Turnaround Time: [1198.1]
ProcessID: [192], Waiting Time [1197.1], Turnaround Time: [1200.1]
ProcessID: [193], Waiting Time [1192.1], Turnaround Time: [1201.1]
ProcessID: [194], Waiting Time [1201.1], Turnaround Time: [1221.1]
ProcessID: [195], Waiting Time [1222.1], Turnaround Time: [1236.1]
ProcessID: [196], Waiting Time [1236.1], Turnaround Time: [1241.1]
ProcessID: [197], Waiting Time [1234.1], Turnaround Time: [1245.1]
ProcessID: [198], Waiting Time [1243.1], Turnaround Time: [1253.1]
ProcessID: [199], Waiting Time [1254.1], Turnaround Time: [1261.1]
ProcessID: [200], Waiting Time [1256.1], Turnaround Time: [1261.1]
